Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Rome F,W vs Tsitsipas,30.2%,41.5%,63.9%,38.3%,40.5%,54.1%,68.2%,52.2%,64.3%,30.4%,100.0%,6.7%,13.3%,57.1%,-49
2022 Rome SF,W vs Ruud,7.8%,15.7%,67.4%,15.3%,9.1%,21.2%,66.7%,20.6%,50.0%,19.0%,0.0%,5.9%,5.9%,68.8%,-57
2022 Rome QF,W vs Auger Aliassime,26.7%,40.0%,60.0%,35.9%,29.8%,45.6%,62.5%,41.9%,50.0%,35.5%,33.3%,16.7%,22.2%,53.3%,-79
2022 Rome R16,W vs Wawrinka,31.3%,37.5%,54.5%,36.9%,33.3%,41.7%,62.5%,40.8%,40.0%,57.1%,0.0%,25.0%,25.0%,33.3%,-79
2022 Rome R32,W vs Karatsev,23.5%,31.4%,64.9%,27.8%,28.0%,36.0%,66.7%,36.8%,60.0%,66.7%,-,20.8%,29.2%,63.2%,37
2022 Madrid SF,L vs Alcaraz,31.8%,38.8%,51.2%,36.7%,34.1%,37.6%,48.2%,41.5%,43.2%,45.8%,57.1%,28.6%,42.9%,56.7%,-10
2022 Madrid QF,W vs Hurkacz,29.1%,43.6%,68.4%,38.7%,38.9%,58.3%,68.2%,53.6%,33.3%,57.1%,-,11.1%,16.7%,68.8%,-2
2022 Madrid R32,W vs Monfils,17.6%,23.5%,60.4%,23.2%,23.3%,32.6%,60.6%,32.1%,57.1%,31.8%,25.0%,9.1%,9.1%,60.0%,-30
2022 Belgrade  F,L vs Rublev,25.3%,33.0%,38.1%,30.5%,33.3%,43.9%,36.8%,41.8%,57.7%,45.2%,50.0%,13.8%,17.2%,40.0%,11
2022 Monte Carlo R32,L vs Davidovich Fokina,12.8%,20.8%,44.2%,19.3%,14.5%,26.3%,47.7%,25.1%,26.5%,52.4%,41.7%,11.4%,13.6%,38.5%,-6
2021 Tour Finals SF,L vs Zverev,43.5%,54.3%,49.0%,49.8%,60.7%,73.8%,62.5%,70.2%,48.3%,46.9%,50.0%,10.0%,16.7%,37.0%,-30
2021 Tour Finals RR,W vs Ruud,52.8%,60.4%,52.0%,57.7%,61.5%,71.8%,73.3%,68.2%,55.0%,52.6%,-,28.6%,28.6%,20.0%,-79
2021 Tour Finals RR,W vs Rublev,54.2%,54.2%,36.4%,54.2%,77.4%,77.4%,42.9%,77.4%,61.5%,66.7%,-,11.8%,11.8%,33.3%,-79
2021 Paris F,W vs Medvedev,20.9%,41.9%,54.5%,33.0%,29.8%,57.9%,70.0%,48.1%,48.0%,43.8%,50.0%,3.7%,11.1%,30.8%,-80
2021 Paris SF,W vs Hurkacz,32.5%,42.9%,59.2%,37.3%,46.5%,58.1%,56.5%,55.1%,66.7%,59.1%,50.0%,16.1%,25.8%,61.5%,44
2021 Paris QF,W vs Fritz,31.9%,46.8%,55.2%,39.6%,41.2%,58.8%,55.0%,51.8%,43.8%,38.9%,33.3%,10.0%,20.0%,55.6%,-33
2021 US Open F,L vs Medvedev,23.9%,33.7%,52.2%,31.0%,38.0%,52.0%,67.7%,51.0%,55.6%,47.8%,50.0%,7.7%,12.8%,38.9%,-39
2021 US Open SF,W vs Zverev,26.0%,36.7%,54.1%,33.1%,37.4%,51.5%,62.9%,48.1%,55.3%,42.3%,50.0%,4.1%,8.2%,42.6%,-75
2021 US Open QF,W vs Berrettini,34.2%,47.9%,58.9%,40.5%,44.4%,58.3%,52.5%,54.7%,40.6%,37.5%,0.0%,19.5%,34.1%,66.7%,56
2021 US Open R16,W vs Brooksby,29.5%,42.9%,52.1%,36.1%,40.9%,54.5%,53.8%,51.4%,46.9%,44.1%,20.0%,10.5%,23.7%,50.0%,-40
2021 US Open R32,W vs Nishikori,34.4%,45.8%,54.4%,40.5%,46.3%,58.5%,56.8%,56.1%,47.4%,54.5%,50.0%,16.7%,28.6%,51.4%,39
2021 US Open R64,W vs Griekspoor,50.0%,56.9%,48.4%,56.0%,57.4%,68.1%,55.0%,66.6%,40.9%,44.0%,0.0%,45.0%,45.0%,36.4%,224
2021 Tokyo Olympics BR,L vs Carreno Busta,28.7%,42.5%,59.3%,37.9%,40.8%,61.2%,62.1%,57.1%,62.5%,51.5%,0.0%,14.3%,20.0%,56.7%,27
2021 Tokyo Olympics SF,L vs Zverev,20.3%,27.8%,37.1%,24.9%,28.8%,38.5%,37.8%,36.0%,48.1%,44.0%,25.0%,3.8%,7.7%,36.0%,-77
2021 Tokyo Olympics QF,W vs Nishikori,28.6%,45.2%,73.1%,33.6%,40.0%,55.0%,75.0%,50.5%,53.8%,42.9%,-,22.2%,44.4%,71.4%,82
2021 Tokyo Olympics R16,W vs Davidovich Fokina,37.5%,47.9%,58.6%,42.9%,53.1%,65.6%,60.0%,61.2%,66.7%,41.2%,0.0%,6.7%,13.3%,57.1%,-49
2021 Tokyo Olympics R32,W vs Struff,48.3%,55.2%,44.8%,54.1%,63.4%,68.3%,53.3%,71.7%,70.6%,33.3%,100.0%,12.5%,25.0%,35.7%,10
2021 Tokyo Olympics R64,W vs Dellien,58.3%,63.9%,73.3%,61.4%,54.5%,59.1%,60.0%,59.5%,46.2%,44.4%,-,64.3%,71.4%,100.0%,-79
2021 Wimbledon F,W vs Berrettini,29.5%,41.0%,58.5%,36.4%,40.0%,56.0%,64.4%,51.2%,52.5%,45.7%,50.0%,14.0%,18.6%,51.4%,22
2021 Wimbledon SF,W vs Shapovalov,31.3%,50.0%,62.5%,40.9%,40.6%,66.7%,65.9%,56.2%,61.3%,39.5%,16.7%,18.4%,26.3%,58.1%,61
2021 Wimbledon QF,W vs Fucsovics,25.8%,46.2%,60.6%,35.6%,36.1%,63.9%,71.8%,51.0%,59.3%,50.0%,33.3%,6.9%,13.8%,44.4%,-49
2021 Roland Garros F,W vs Tsitsipas,21.6%,35.8%,63.7%,30.4%,28.3%,43.5%,68.2%,41.1%,64.1%,54.7%,33.3%,7.7%,20.5%,55.6%,-39
2021 Roland Garros SF,W vs Nadal,13.5%,21.8%,54.5%,20.5%,15.3%,25.9%,58.3%,26.2%,59.1%,41.5%,50.0%,11.1%,15.6%,47.5%,-3
2021 Roland Garros QF,W vs Berrettini,28.0%,46.2%,63.8%,36.6%,37.0%,57.6%,63.8%,49.2%,53.5%,59.2%,33.3%,7.7%,20.5%,63.9%,-41
2021 Belgrade 2 F,W vs Molcan,18.4%,26.5%,54.1%,25.1%,29.6%,40.7%,57.9%,41.9%,38.5%,57.1%,0.0%,5.3%,10.5%,50.0%,-68
2021 Rome F,L vs Nadal,21.1%,26.3%,50.7%,24.4%,27.0%,33.3%,52.2%,32.1%,61.8%,48.3%,75.0%,10.7%,14.3%,48.0%,-15
2021 Rome SF,W vs Sonego,22.1%,32.6%,66.7%,32.4%,25.8%,40.9%,71.4%,40.6%,52.0%,51.2%,0.0%,14.8%,14.8%,56.5%,25
2021 Belgrade SF,L vs Karatsev,21.6%,28.4%,47.1%,26.1%,22.2%,31.9%,50.0%,29.6%,45.7%,56.8%,33.3%,23.7%,26.3%,41.4%,107
2021 Monte Carlo R16,L vs Evans,15.4%,26.2%,47.1%,21.8%,18.4%,34.2%,48.4%,29.5%,47.4%,42.1%,-,13.0%,17.4%,45.0%,4
2021 Australian Open F,W vs Medvedev,25.6%,34.6%,58.9%,34.0%,34.6%,48.1%,58.8%,47.1%,45.8%,57.1%,0.0%,8.3%,8.3%,59.1%,-33
2021 Australian Open SF,W vs Karatsev,40.7%,44.4%,47.8%,42.6%,45.5%,50.9%,46.7%,48.2%,45.8%,54.8%,75.0%,33.3%,33.3%,50.0%,37
2021 Australian Open QF,W vs Zverev,35.2%,45.7%,48.0%,42.4%,44.5%,57.1%,50.0%,54.4%,51.9%,41.8%,28.6%,10.5%,15.8%,44.1%,-16
2021 Australian Open R16,W vs Raonic,36.4%,52.9%,58.1%,45.0%,45.1%,64.6%,60.0%,57.8%,52.9%,47.9%,100.0%,19.4%,30.6%,55.2%,37
2021 Australian Open R32,W vs Fritz,32.1%,44.7%,53.4%,40.4%,38.1%,54.3%,60.0%,50.8%,58.8%,51.9%,33.3%,22.4%,28.6%,42.1%,61
2021 Australian Open R64,W vs Tiafoe,44.2%,53.3%,58.1%,48.9%,55.4%,67.6%,63.6%,63.1%,46.9%,40.5%,33.3%,29.3%,34.1%,51.7%,86
2020 Tour Finals SF,L vs Thiem,34.2%,43.9%,56.0%,41.8%,44.6%,56.8%,73.2%,56.4%,41.9%,46.5%,0.0%,15.0%,20.0%,35.3%,-79
2020 Tour Finals RR,L vs Medvedev,20.6%,30.9%,51.0%,27.8%,30.0%,42.5%,53.6%,42.3%,40.0%,65.0%,25.0%,8.7%,17.4%,47.6%,-39
2020 Vienna QF,L vs Sonego,19.6%,31.4%,36.8%,26.9%,32.1%,50.0%,42.1%,45.4%,72.7%,52.9%,100.0%,5.0%,10.0%,31.6%,-70
2020 Roland Garros F,L vs Nadal,5.1%,15.2%,48.9%,13.2%,7.6%,21.2%,45.9%,19.8%,45.5%,42.4%,30.0%,0.0%,3.4%,55.2%,-118
2020 Roland Garros SF,W vs Tsitsipas,25.5%,37.3%,54.6%,33.5%,30.4%,46.1%,60.6%,42.4%,45.5%,53.4%,75.0%,17.8%,22.2%,43.2%,54
2020 Roland Garros QF,W vs Carreno Busta,22.1%,29.0%,55.7%,29.3%,30.3%,40.8%,58.5%,42.6%,55.9%,50.0%,33.3%,12.0%,14.0%,52.3%,2
2020 Rome F,W vs Schwartzman,12.9%,27.1%,55.0%,23.4%,19.1%,40.4%,63.2%,34.9%,59.1%,60.0%,50.0%,0.0%,0.0%,40.9%,-118
2020 Rome SF,W vs Ruud,27.8%,41.8%,55.4%,34.4%,34.0%,49.1%,54.3%,43.8%,40.9%,64.5%,28.6%,16.0%,28.0%,57.1%,-21
2020 US Open R32,W vs Struff,30.9%,40.7%,64.7%,38.1%,41.5%,54.7%,64.5%,52.6%,50.0%,34.5%,33.3%,13.0%,17.4%,65.0%,0
2020 Cincinnati F,W vs Raonic,26.3%,36.8%,52.9%,28.9%,38.5%,48.7%,58.3%,43.6%,40.0%,68.4%,0.0%,15.6%,28.1%,48.1%,31
2020 Cincinnati SF,W vs Bautista Agut,29.1%,37.9%,43.9%,34.5%,43.1%,51.7%,45.5%,52.6%,31.0%,51.7%,60.0%,13.2%,23.7%,42.4%,4
2020 Dubai F,W vs Tsitsipas,26.3%,36.8%,59.5%,33.9%,30.6%,44.4%,68.0%,42.5%,66.7%,53.3%,100.0%,19.0%,23.8%,47.1%,-79
2020 Dubai SF,W vs Monfils,20.8%,31.3%,48.0%,28.0%,23.9%,36.6%,48.1%,33.7%,40.0%,43.9%,25.0%,12.5%,16.7%,47.6%,-19
2020 Australian Open F,W vs Thiem,23.9%,36.6%,59.8%,32.3%,27.6%,42.5%,66.7%,40.6%,42.9%,51.1%,100.0%,19.0%,28.6%,47.1%,69
2020 Australian Open SF,W vs Federer,29.4%,38.2%,54.9%,34.7%,37.0%,45.2%,56.5%,44.4%,42.4%,55.0%,40.0%,10.7%,21.4%,52.0%,-27
2020 Australian Open QF,W vs Raonic,35.6%,44.6%,61.4%,40.2%,45.5%,57.6%,77.8%,52.4%,40.0%,52.8%,50.0%,22.2%,25.9%,33.3%,-25
2020 Australian Open R16,W vs Schwartzman,30.2%,43.0%,60.3%,35.0%,38.9%,51.9%,57.6%,46.5%,40.0%,41.4%,100.0%,16.7%,30.0%,64.0%,-30
2020 Atp Cup F,W vs Nadal,35.9%,57.8%,69.2%,46.3%,42.9%,67.3%,71.4%,56.3%,57.1%,50.0%,66.7%,15.4%,30.8%,63.6%,29
2020 Atp Cup SF,W vs Medvedev,19.8%,31.5%,56.0%,28.5%,28.0%,44.0%,59.3%,40.8%,42.4%,50.0%,60.0%,3.2%,6.5%,50.0%,-87
2019 Tour Finals RR,W vs Berrettini,35.0%,42.5%,64.0%,38.8%,41.7%,54.2%,57.1%,47.9%,33.3%,41.7%,0.0%,26.7%,26.7%,72.7%,16
2019 Tour Finals RR,L vs Thiem,29.0%,36.6%,50.0%,34.2%,36.2%,46.6%,56.8%,44.5%,39.1%,40.0%,100.0%,19.4%,22.6%,40.0%,55
2019 Tour Finals RR,L vs Federer,14.5%,22.6%,48.0%,21.8%,19.6%,26.1%,45.9%,29.3%,60.0%,46.2%,66.7%,0.0%,15.4%,53.8%,-118
2019 Paris F,W vs Shapovalov,56.9%,66.7%,57.1%,59.8%,66.7%,75.0%,41.7%,70.8%,25.0%,40.0%,0.0%,35.7%,50.0%,77.8%,22
2019 Paris SF,W vs Dimitrov,33.9%,41.9%,73.0%,38.9%,45.0%,57.5%,72.7%,52.8%,52.6%,38.1%,-,16.7%,16.7%,73.3%,32
2019 Paris QF,W vs Tsitsipas,23.8%,42.9%,71.9%,34.0%,27.6%,44.8%,71.4%,42.4%,16.7%,52.9%,-,15.4%,38.5%,72.7%,-79
2019 Shanghai QF,L vs Tsitsipas,30.2%,37.2%,60.3%,35.8%,33.8%,43.1%,55.8%,41.2%,41.2%,32.3%,0.0%,21.1%,21.1%,73.3%,65
2019 Shanghai R32,W vs Shapovalov,34.0%,46.8%,74.2%,41.7%,34.3%,51.4%,82.6%,44.6%,47.4%,37.5%,0.0%,33.3%,33.3%,50.0%,-79
2019 Tokyo F,W vs Millman,46.8%,51.1%,56.0%,47.9%,60.0%,63.3%,66.7%,61.7%,25.0%,42.9%,-,23.5%,29.4%,46.2%,-79
2019 US Open R16,L vs Wawrinka,27.4%,34.2%,45.5%,31.8%,37.5%,47.5%,52.0%,45.5%,44.0%,46.7%,50.0%,20.8%,25.0%,36.8%,72
2019 Cincinnati SF,L vs Medvedev,30.4%,37.7%,57.4%,35.9%,38.0%,46.0%,54.8%,45.6%,42.3%,41.7%,-,11.1%,16.7%,62.5%,-2
2019 Wimbledon F,W vs Federer,23.3%,31.1%,56.0%,28.2%,33.1%,42.6%,61.5%,41.0%,38.1%,46.6%,75.0%,8.1%,13.5%,48.5%,-38
2019 Wimbledon SF,W vs Bautista Agut,24.3%,38.3%,59.5%,33.0%,31.1%,51.4%,66.7%,44.5%,51.3%,42.9%,100.0%,13.2%,15.8%,48.5%,16
2019 Wimbledon QF,W vs Goffin,31.3%,37.3%,50.9%,34.7%,52.1%,56.3%,47.8%,57.9%,36.8%,37.9%,40.0%,3.2%,12.9%,53.3%,-86
2019 Wimbledon R16,W vs Humbert,22.7%,36.4%,75.5%,30.8%,28.3%,43.5%,72.7%,39.8%,36.8%,44.4%,-,11.1%,22.2%,81.3%,-8
2019 Wimbledon R32,W vs Hurkacz,33.1%,46.2%,63.3%,40.8%,45.9%,61.2%,65.2%,57.8%,37.1%,56.0%,0.0%,10.8%,21.6%,60.6%,-20
2019 Wimbledon R64,W vs Kudla,38.4%,53.4%,54.8%,45.5%,50.0%,66.7%,58.3%,60.8%,40.9%,65.4%,50.0%,18.2%,31.8%,50.0%,47
2019 Wimbledon R128,W vs Kohlschreiber,39.5%,51.3%,62.8%,47.1%,48.0%,64.0%,69.2%,59.6%,28.6%,31.8%,66.7%,26.1%,30.4%,52.9%,96
2019 Roland Garros SF,L vs Thiem,16.9%,27.1%,51.1%,24.7%,19.2%,33.1%,52.4%,29.8%,41.0%,59.4%,56.3%,12.2%,12.2%,47.2%,4
2019 Roland Garros R128,W vs Hurkacz,41.3%,47.6%,65.7%,47.5%,48.8%,55.8%,63.6%,57.9%,45.0%,60.9%,-,27.8%,33.3%,69.2%,1
2019 Rome F,L vs Nadal,15.6%,28.1%,43.8%,26.4%,19.2%,34.2%,50.8%,33.3%,51.4%,44.4%,25.0%,4.5%,9.1%,23.8%,-70
2019 Rome SF,W vs Schwartzman,15.2%,27.3%,61.4%,24.4%,15.4%,30.8%,63.6%,29.5%,37.0%,57.9%,66.7%,15.2%,21.2%,57.1%,-35
2019 Rome QF,W vs del Potro,19.2%,35.4%,63.6%,28.6%,18.2%,40.9%,59.3%,32.3%,39.3%,57.9%,25.0%,23.3%,26.7%,73.9%,59
2019 Madrid F,W vs Tsitsipas,20.3%,28.8%,63.8%,28.6%,25.0%,37.5%,70.0%,37.3%,71.4%,61.5%,-,10.5%,10.5%,52.9%,-79
2019 Madrid SF,W vs Thiem,28.9%,43.3%,49.2%,35.1%,36.4%,54.5%,60.0%,46.5%,41.7%,58.1%,75.0%,17.6%,26.5%,35.7%,-36
2019 Monte Carlo QF,L vs Medvedev,14.3%,20.9%,52.0%,18.9%,12.0%,24.0%,61.4%,20.4%,42.9%,48.3%,75.0%,18.4%,18.4%,38.7%,32
2019 Indian Wells R32,L vs Kohlschreiber,23.2%,32.1%,50.0%,28.9%,32.4%,43.2%,52.0%,41.1%,50.0%,47.4%,50.0%,6.3%,12.5%,46.7%,-60
2019 Australian Open F,W vs Nadal,24.6%,42.0%,75.0%,32.2%,28.0%,44.0%,72.2%,38.4%,54.5%,42.9%,0.0%,15.8%,36.8%,81.3%,-79
2019 Australian Open SF,W vs Pouille,37.7%,56.6%,75.8%,48.5%,36.8%,60.5%,75.0%,51.8%,45.0%,55.6%,-,40.0%,46.7%,77.8%,-79
2019 Australian Open QF,W vs Nishikori,31.0%,44.8%,84.2%,40.3%,35.0%,50.0%,76.9%,48.5%,11.1%,63.6%,-,25.0%,37.5%,100.0%,89
2019 Australian Open R16,W vs Medvedev,21.4%,34.9%,58.5%,30.6%,26.2%,45.2%,62.9%,40.0%,40.5%,51.1%,40.0%,13.5%,16.2%,50.0%,13
2019 Australian Open R32,W vs Shapovalov,30.0%,38.9%,60.3%,34.4%,31.5%,46.3%,62.2%,38.9%,56.5%,54.8%,50.0%,32.3%,32.3%,57.1%,94
2019 Doha SF,L vs Bautista Agut,27.2%,37.7%,55.0%,33.5%,32.9%,41.1%,49.0%,42.7%,44.8%,59.1%,60.0%,18.4%,34.2%,64.5%,32
2019 Doha QF,W vs Basilashvili,36.0%,43.0%,48.1%,39.7%,45.6%,54.4%,48.4%,51.1%,46.4%,51.7%,0.0%,19.2%,23.1%,47.6%,72
2018 Tour Finals F,L vs Zverev,22.8%,29.8%,46.5%,28.4%,29.4%,41.2%,62.5%,38.8%,42.9%,45.0%,50.0%,13.6%,13.6%,26.3%,-13
2018 Tour Finals SF,W vs Anderson,41.0%,48.7%,72.7%,46.7%,51.9%,59.3%,69.2%,60.0%,53.3%,75.0%,-,18.2%,27.3%,77.8%,47
2018 Tour Finals RR,W vs Isner,44.2%,53.5%,78.3%,51.6%,43.3%,56.7%,76.5%,54.0%,42.9%,50.0%,-,50.0%,50.0%,83.3%,37
2018 Tour Finals RR,W vs Zverev,23.1%,30.8%,70.3%,26.0%,28.1%,37.5%,65.2%,32.8%,42.9%,33.3%,0.0%,17.6%,23.5%,78.6%,47
2018 Paris F,L vs Khachanov,26.8%,39.4%,49.0%,36.6%,30.2%,48.8%,56.7%,46.5%,45.5%,57.1%,33.3%,22.2%,25.9%,38.1%,-25
2018 Paris SF,W vs Federer,31.9%,41.6%,62.3%,37.9%,32.5%,45.5%,61.5%,41.3%,25.0%,60.0%,100.0%,30.6%,33.3%,64.0%,-79
2018 Shanghai F,W vs Coric,32.7%,40.4%,74.3%,38.8%,40.6%,53.1%,84.2%,50.6%,50.0%,58.3%,-,20.0%,20.0%,62.5%,-79
2018 Shanghai SF,W vs Zverev,37.0%,43.5%,57.1%,42.8%,42.4%,51.5%,63.2%,50.6%,69.2%,55.0%,-,25.0%,25.0%,44.4%,37
2018 US Open F,W vs del Potro,13.6%,22.0%,60.0%,18.8%,14.9%,28.4%,61.9%,23.2%,45.7%,41.0%,33.3%,11.9%,11.9%,56.8%,-10
2018 US Open SF,W vs Nishikori,37.2%,47.4%,66.0%,45.5%,40.0%,54.0%,66.7%,53.0%,55.0%,46.7%,100.0%,34.6%,38.5%,64.7%,29
2018 US Open QF,W vs Millman,22.1%,32.6%,66.7%,29.0%,24.1%,36.2%,65.9%,34.3%,56.0%,42.4%,0.0%,20.8%,29.2%,68.4%,78
2018 Cincinnati F,W vs Federer,47.2%,49.1%,53.8%,49.2%,40.0%,42.9%,52.4%,43.1%,40.0%,45.0%,-,68.8%,68.8%,60.0%,89
2018 Cincinnati SF,W vs Cilic,24.0%,33.3%,52.2%,30.7%,33.3%,45.0%,57.5%,44.2%,53.1%,42.9%,60.0%,9.4%,15.6%,44.8%,-26
2018 Canada R16,L vs Tsitsipas,27.8%,38.1%,59.1%,32.3%,35.7%,44.6%,58.3%,43.4%,60.7%,42.9%,25.0%,18.9%,32.4%,60.0%,69
2018 Wimbledon F,W vs Anderson,36.2%,45.7%,62.5%,42.3%,39.7%,51.5%,61.0%,48.2%,40.0%,46.5%,33.3%,31.8%,36.4%,66.7%,154
2018 Wimbledon SF,W vs Nadal,30.7%,43.8%,55.1%,39.0%,37.3%,54.0%,60.8%,49.0%,30.4%,47.1%,16.7%,15.2%,19.6%,43.6%,36
2018 Wimbledon QF,W vs Nishikori,23.1%,36.3%,64.2%,32.4%,27.9%,45.9%,79.5%,41.8%,35.7%,51.5%,0.0%,14.8%,18.5%,34.8%,29
2018 Queen's Club F,L vs Cilic,41.3%,47.7%,52.5%,44.0%,54.3%,61.7%,48.6%,58.0%,47.4%,44.2%,40.0%,4.3%,8.7%,59.1%,-79
2018 Queen's Club QF,W vs Mannarino,34.5%,49.1%,61.8%,42.2%,42.9%,60.0%,70.0%,54.9%,44.4%,58.8%,100.0%,22.2%,33.3%,50.0%,72
