Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2011 Cincinnati SF,W vs Berdych,36.7%,43.3%,62.5%,46.0%,40.0%,50.0%,66.7%,54.0%,58.3%,50.0%,100.0%,42.9%,42.9%,50.0%,212
2011 Canada F,W vs Fish,26.0%,34.4%,52.2%,29.9%,37.7%,45.9%,52.6%,43.8%,32.1%,66.7%,33.3%,6.1%,15.2%,51.6%,-55
2011 Canada SF,W vs Tsonga,30.8%,43.6%,66.7%,41.8%,32.1%,50.0%,68.4%,47.5%,46.2%,60.0%,-,27.3%,27.3%,62.5%,-79
2011 Wimbledon F,W vs Nadal,30.5%,40.0%,53.8%,37.4%,37.7%,47.8%,55.8%,47.1%,48.6%,38.2%,0.0%,12.0%,20.0%,50.0%,-21
2011 Wimbledon SF,W vs Tsonga,30.8%,45.0%,63.4%,38.4%,32.9%,46.8%,66.0%,44.4%,40.5%,52.4%,100.0%,27.5%,42.5%,58.6%,-42
2011 Roland Garros SF,L vs Federer,19.0%,29.2%,51.5%,25.8%,23.0%,33.6%,48.3%,33.1%,37.3%,50.0%,40.0%,11.3%,20.8%,57.4%,-24
2011 Rome F,W vs Nadal,8.2%,24.6%,60.0%,18.7%,11.1%,28.9%,62.5%,25.3%,73.7%,34.6%,100.0%,0.0%,13.3%,53.3%,-118
2011 Rome SF,W vs Murray,11.5%,15.6%,56.6%,17.3%,13.8%,20.0%,60.7%,22.5%,41.4%,61.1%,75.0%,6.9%,6.9%,48.1%,-47
2011 Madrid F,W vs Nadal,10.3%,24.1%,58.8%,20.9%,15.2%,30.3%,64.3%,33.6%,53.3%,50.0%,66.7%,4.2%,16.7%,52.2%,-74
2011 Madrid SF,W vs Bellucci,27.5%,36.3%,54.4%,32.8%,35.3%,47.1%,51.5%,43.5%,60.9%,39.3%,0.0%,14.3%,17.9%,58.3%,-27
2011 Madrid R32,W vs Anderson,23.6%,34.5%,70.3%,29.3%,30.6%,44.4%,76.0%,39.2%,56.3%,60.0%,100.0%,14.3%,21.4%,58.3%,19
2011 Belgrade F,W vs Lopez,20.5%,30.8%,64.8%,26.5%,24.4%,40.0%,73.5%,34.9%,45.0%,36.0%,0.0%,20.0%,24.0%,50.0%,59
2011 Miami F,W vs Nadal,18.9%,38.9%,61.0%,27.8%,20.4%,42.6%,58.1%,35.9%,56.5%,48.4%,50.0%,17.1%,34.1%,64.7%,-79
2011 Miami SF,W vs Fish,29.3%,43.1%,51.2%,36.4%,34.1%,51.2%,63.0%,44.1%,50.0%,52.2%,33.3%,17.6%,23.5%,28.6%,-79
2011 Indian Wells F,W vs Nadal,22.5%,39.3%,59.4%,31.8%,27.8%,51.9%,64.1%,43.1%,56.5%,51.6%,0.0%,16.7%,23.3%,52.0%,44
2011 Indian Wells SF,W vs Federer,27.1%,32.9%,48.3%,31.5%,31.6%,38.6%,46.2%,38.2%,28.6%,65.5%,100.0%,20.8%,25.0%,52.6%,78
2011 Indian Wells QF,W vs Gasquet,29.6%,38.9%,51.4%,34.6%,43.3%,53.3%,70.6%,52.3%,35.7%,62.5%,-,13.0%,21.7%,35.0%,-16
2011 Dubai F,W vs Federer,40.8%,49.0%,55.2%,44.9%,51.5%,63.6%,62.5%,57.6%,53.8%,50.0%,-,18.8%,18.8%,46.2%,-79
2011 Australian Open F,W vs Murray,20.0%,26.7%,58.3%,23.5%,26.9%,34.6%,55.3%,31.9%,56.5%,51.7%,33.3%,4.3%,8.7%,63.6%,-79
2011 Australian Open SF,W vs Federer,24.0%,33.6%,55.6%,31.4%,31.4%,43.0%,61.0%,42.1%,37.2%,32.6%,25.0%,11.4%,17.1%,45.2%,-8
2011 Australian Open QF,W vs Berdych,29.7%,37.4%,56.5%,37.7%,41.0%,49.2%,69.4%,53.0%,37.9%,43.8%,100.0%,7.1%,14.3%,38.5%,-42
2010 Tour Finals SF,L vs Federer,19.3%,24.6%,41.9%,25.1%,17.6%,26.5%,46.4%,27.4%,50.0%,38.9%,75.0%,25.0%,25.0%,33.3%,118
2010 Tour Finals RR,L vs Nadal,32.8%,39.3%,37.5%,37.4%,35.9%,41.0%,44.0%,43.1%,17.6%,22.7%,0.0%,28.6%,38.1%,26.7%,-10
2010 Tour Finals RR,W vs Berdych,27.8%,38.9%,63.2%,32.8%,35.3%,44.1%,63.6%,43.2%,38.9%,37.5%,-,15.8%,31.6%,62.5%,-3
2010 Tour Finals RR,W vs Roddick,35.3%,45.1%,60.6%,42.5%,35.5%,51.6%,60.0%,47.4%,41.7%,57.9%,-,35.0%,35.0%,61.5%,-79
2010 Basel F,L vs Federer,28.0%,36.6%,52.6%,31.2%,33.9%,41.1%,45.9%,38.6%,60.0%,51.6%,80.0%,16.7%,29.2%,65.0%,37
2010 Shanghai SF,L vs Federer,18.7%,34.7%,54.4%,25.6%,20.8%,37.5%,52.6%,31.7%,53.8%,40.9%,66.7%,17.4%,34.8%,57.9%,45
2010 Beijing F,W vs Ferrer,22.4%,32.7%,64.9%,32.4%,25.0%,40.6%,70.8%,40.3%,66.7%,52.9%,-,18.8%,18.8%,53.8%,10
2010 US Open F,L vs Nadal,13.3%,26.6%,53.3%,21.4%,17.7%,34.4%,57.0%,29.8%,44.0%,28.3%,33.3%,4.7%,11.6%,46.3%,-71
2010 US Open SF,W vs Federer,21.2%,35.1%,58.6%,27.8%,26.6%,41.5%,56.5%,37.2%,28.6%,42.3%,0.0%,13.0%,25.9%,61.7%,1
2010 US Open QF,W vs Monfils,12.0%,32.0%,61.9%,24.8%,12.2%,33.8%,64.6%,29.5%,48.6%,45.9%,42.9%,13.6%,31.8%,52.6%,9
2010 US Open R32,W vs Blake,36.2%,46.8%,52.6%,43.5%,40.3%,52.8%,48.8%,49.9%,35.5%,43.9%,0.0%,26.3%,31.6%,64.3%,-3
2010 Cincinnati QF,L vs Roddick,22.6%,37.1%,51.1%,32.1%,19.4%,38.9%,48.3%,35.8%,30.8%,52.2%,25.0%,30.4%,39.1%,56.3%,42
2010 Canada SF,L vs Federer,21.2%,28.0%,43.3%,24.8%,22.2%,28.4%,44.4%,27.5%,31.7%,40.0%,33.3%,20.6%,29.4%,40.7%,44
2010 Wimbledon SF,L vs Berdych,26.1%,38.6%,59.6%,33.2%,31.3%,46.9%,61.4%,40.9%,30.8%,50.0%,50.0%,18.8%,25.0%,53.8%,19
2010 Wimbledon R128,W vs Rochus,25.5%,38.0%,53.3%,31.6%,33.8%,50.0%,52.8%,44.1%,41.7%,34.1%,27.3%,17.8%,26.7%,54.1%,36
2010 Monte Carlo SF,L vs Verdasco,9.1%,21.2%,41.8%,14.5%,12.8%,28.2%,44.1%,22.1%,57.9%,50.0%,40.0%,4.5%,13.6%,38.1%,-77
2010 Dubai F,W vs Youzhny,16.8%,22.4%,55.8%,20.9%,25.5%,32.7%,61.0%,33.5%,40.0%,51.4%,40.0%,10.0%,15.0%,50.0%,-33
2010 Australian Open QF,L vs Tsonga,17.9%,28.3%,57.3%,25.0%,20.0%,31.0%,58.8%,30.3%,38.1%,60.3%,75.0%,16.7%,27.8%,53.3%,29
2009 Tour Finals RR,W vs Davydenko,25.0%,34.0%,52.1%,30.1%,33.3%,47.6%,50.0%,41.4%,50.0%,51.7%,0.0%,12.1%,12.1%,55.2%,1
2009 Tour Finals RR,W vs Nadal,16.4%,27.4%,62.1%,25.6%,15.8%,28.9%,71.9%,33.4%,46.2%,28.0%,0.0%,18.8%,28.1%,50.0%,51
2009 Tour Finals RR,L vs Soderling,33.8%,38.0%,37.0%,36.2%,40.5%,42.9%,32.0%,44.5%,33.3%,59.3%,100.0%,25.0%,32.1%,42.9%,-27
2009 Paris F,W vs Monfils,15.3%,32.7%,65.4%,28.6%,13.6%,34.8%,66.7%,33.3%,54.5%,42.4%,50.0%,22.2%,33.3%,61.9%,88
2009 Paris SF,W vs Nadal,26.0%,42.0%,72.7%,33.8%,41.4%,51.7%,70.6%,54.8%,33.3%,28.6%,-,5.9%,35.3%,75.0%,-66
2009 Basel F,W vs Federer,23.5%,29.6%,60.6%,28.6%,27.9%,34.4%,61.4%,36.1%,60.7%,45.5%,71.4%,21.4%,28.6%,59.1%,70
2009 Shanghai SF,L vs Davydenko,16.7%,24.2%,57.1%,21.0%,24.4%,34.6%,52.5%,31.0%,44.1%,45.5%,25.0%,2.5%,5.0%,64.1%,-92
2009 Beijing F,W vs Cilic,22.2%,29.2%,49.1%,28.2%,25.0%,35.4%,55.6%,34.0%,57.1%,51.9%,42.9%,17.4%,17.4%,36.8%,-16
2009 US Open SF,L vs Federer,28.7%,43.5%,51.3%,37.0%,32.1%,48.7%,52.8%,44.2%,38.9%,26.2%,20.0%,24.2%,36.4%,48.0%,85
2009 Cincinnati F,L vs Federer,22.2%,29.6%,38.7%,27.5%,25.9%,35.2%,47.5%,33.9%,43.5%,29.0%,55.6%,15.4%,19.2%,22.7%,-23
2009 Cincinnati SF,W vs Nadal,36.4%,47.3%,52.9%,46.4%,40.5%,54.1%,54.5%,55.4%,52.6%,27.8%,-,29.4%,35.3%,50.0%,5
2009 Wimbledon QF,L vs Haas,29.0%,41.1%,59.5%,35.7%,37.5%,55.6%,68.9%,49.0%,40.6%,67.5%,50.0%,18.8%,22.9%,48.7%,37
2009 Halle F,L vs Haas,18.6%,32.6%,55.2%,21.5%,27.7%,38.3%,50.0%,33.0%,50.0%,55.2%,33.3%,8.3%,27.8%,60.6%,-33
2009 Madrid SF,L vs Nadal,18.8%,33.0%,67.0%,25.3%,28.8%,45.5%,72.3%,39.8%,44.8%,43.2%,0.0%,4.7%,16.3%,61.0%,-70
2009 Belgrade F,W vs Kubot,31.9%,42.0%,53.3%,38.1%,39.1%,50.0%,50.0%,48.5%,60.0%,57.7%,40.0%,19.0%,28.6%,58.8%,53
2009 Rome F,L vs Nadal,12.1%,30.3%,50.0%,20.9%,12.8%,33.3%,52.9%,27.7%,42.9%,44.0%,100.0%,12.0%,28.0%,45.5%,4
2009 Rome SF,W vs Federer,12.0%,25.0%,58.5%,17.9%,19.2%,32.7%,57.1%,30.6%,60.9%,58.6%,20.0%,4.7%,18.6%,61.0%,-73
2009 Rome QF,W vs del Potro,25.0%,35.9%,57.8%,33.4%,26.8%,41.5%,53.3%,40.0%,22.2%,52.2%,-,25.0%,30.0%,66.7%,118
2009 Monte Carlo F,L vs Nadal,17.2%,25.3%,37.7%,23.4%,24.1%,35.2%,41.5%,34.1%,26.9%,17.9%,40.0%,6.7%,10.0%,32.1%,-51
2009 Monte Carlo SF,W vs Wawrinka,19.8%,28.4%,59.0%,24.9%,25.5%,38.3%,68.6%,34.5%,33.3%,51.7%,50.0%,12.9%,19.4%,48.1%,8
2009 Miami F,L vs Murray,19.2%,28.8%,40.7%,25.1%,25.0%,36.4%,39.4%,34.8%,40.9%,50.0%,80.0%,12.5%,20.8%,42.9%,-4
2009 Miami SF,W vs Federer,19.2%,26.0%,60.0%,22.7%,23.5%,31.4%,59.0%,28.6%,43.5%,39.3%,0.0%,11.1%,16.7%,62.5%,-18
2009 Davis Cup RR,L vs Ferrer,16.1%,28.6%,44.3%,26.2%,22.5%,40.8%,56.4%,38.5%,43.3%,61.0%,60.0%,5.7%,8.6%,24.2%,-64
2009 Davis Cup RR,L vs Nadal,14.6%,26.0%,46.2%,21.4%,21.4%,33.9%,50.0%,33.0%,46.2%,36.7%,25.0%,5.6%,16.7%,41.2%,-63
2009 Dubai F,W vs Ferrer,15.9%,30.2%,54.7%,26.8%,23.3%,44.2%,60.6%,39.3%,50.0%,47.8%,0.0%,0.0%,0.0%,45.0%,-118
2009 Australian Open QF,L vs Roddick,21.7%,28.7%,48.2%,28.0%,31.5%,39.7%,46.0%,41.4%,52.5%,45.5%,16.7%,5.4%,10.8%,51.4%,-66
2008 Masters Cup F,W vs Davydenko,21.8%,38.2%,67.5%,29.6%,29.4%,44.1%,62.5%,42.1%,55.6%,56.3%,0.0%,11.1%,33.3%,75.0%,-13
2008 Masters Cup SF,W vs Simon,28.3%,39.6%,53.3%,34.1%,37.3%,53.7%,57.1%,46.4%,52.9%,63.6%,33.3%,13.2%,15.8%,48.5%,-40
2008 Bangkok F,L vs Tsonga,24.3%,32.9%,50.0%,30.4%,32.5%,45.0%,55.6%,43.3%,37.5%,50.0%,0.0%,16.0%,20.0%,42.9%,-21
2008 US Open SF,L vs Federer,29.8%,42.7%,48.8%,38.3%,33.8%,52.5%,58.5%,46.9%,50.0%,50.0%,71.4%,25.6%,28.2%,31.0%,93
2008 Beijing Olympics BR,W vs Blake,46.0%,66.7%,66.7%,55.7%,47.9%,70.8%,72.0%,60.6%,52.4%,55.6%,100.0%,42.9%,57.1%,50.0%,22
2008 Beijing Olympics SF,L vs Nadal,30.6%,42.4%,51.9%,37.3%,40.7%,57.4%,53.1%,51.3%,58.3%,43.3%,66.7%,15.4%,19.2%,50.0%,24
2008 Beijing Olympics QF,W vs Monfils,21.0%,35.0%,53.8%,32.2%,24.6%,44.9%,59.6%,40.9%,51.6%,39.5%,60.0%,13.3%,13.3%,42.3%,-30
2008 Cincinnati F,L vs Murray,22.9%,29.2%,51.5%,27.5%,25.9%,33.3%,52.5%,34.1%,45.5%,53.1%,50.0%,22.2%,27.8%,50.0%,91
2008 Cincinnati SF,W vs Nadal,28.1%,43.9%,63.4%,38.8%,34.4%,50.0%,57.1%,53.4%,28.6%,50.0%,-,20.0%,36.0%,70.0%,-79
2008 Canada QF,L vs Murray,17.2%,25.0%,52.9%,23.1%,17.5%,27.5%,57.6%,27.0%,33.3%,59.1%,75.0%,18.2%,22.7%,44.4%,47
2008 Wimbledon R64,L vs Safin,37.1%,41.2%,43.1%,39.3%,50.0%,54.8%,48.4%,53.4%,44.0%,56.8%,80.0%,20.0%,24.0%,35.0%,39
2008 Queen's Club F,L vs Nadal,26.7%,35.6%,42.4%,35.2%,29.0%,39.1%,44.9%,40.1%,38.7%,36.8%,28.6%,19.0%,23.8%,35.3%,-79
2008 Roland Garros SF,L vs Nadal,15.0%,36.0%,51.2%,24.2%,16.7%,46.3%,48.9%,33.7%,47.8%,22.6%,12.5%,13.3%,24.4%,53.8%,-46
2008 Hamburg SF,L vs Nadal,12.9%,26.9%,46.9%,21.8%,16.7%,38.3%,50.0%,30.5%,48.4%,48.3%,50.0%,6.1%,6.1%,41.9%,-79
2008 Rome F,W vs Wawrinka,28.2%,38.0%,70.0%,37.5%,35.4%,47.9%,74.2%,49.2%,47.8%,72.0%,0.0%,13.6%,18.2%,63.2%,-13
2008 Rome SF,W vs Stepanek,26.3%,42.1%,78.6%,43.7%,23.1%,46.2%,80.0%,48.5%,33.3%,42.9%,-,33.3%,33.3%,75.0%,-79
2008 Monte Carlo SF,L vs Federer,11.3%,19.4%,48.1%,19.4%,8.1%,18.9%,55.9%,21.6%,47.4%,61.1%,50.0%,18.2%,22.7%,33.3%,58
2008 Monte Carlo R16,W vs Murray,17.8%,31.1%,62.2%,25.1%,30.0%,45.0%,57.1%,46.5%,27.3%,55.6%,50.0%,8.0%,20.0%,65.2%,-79
2008 Indian Wells F,W vs Fish,32.1%,38.1%,48.2%,35.4%,44.2%,50.0%,41.4%,49.4%,63.0%,68.0%,100.0%,12.9%,19.4%,55.6%,-32
2008 Indian Wells SF,W vs Nadal,36.0%,48.0%,56.3%,40.2%,51.6%,61.3%,60.0%,58.4%,50.0%,46.7%,0.0%,10.5%,26.3%,52.9%,-79
2008 Dubai QF,W vs Andreev,28.9%,42.1%,69.2%,38.9%,25.0%,41.7%,72.2%,40.8%,50.0%,50.0%,-,38.5%,46.2%,62.5%,29
2008 Australian Open F,W vs Tsonga,28.7%,37.7%,61.2%,36.4%,35.3%,47.1%,65.9%,49.1%,51.6%,51.4%,25.0%,21.2%,26.9%,56.1%,-23
2008 Australian Open SF,W vs Federer,31.9%,44.2%,52.3%,37.9%,47.9%,61.6%,55.3%,57.3%,57.6%,50.0%,83.3%,3.6%,17.9%,48.1%,-86
2008 Australian Open R128,W vs Becker,35.4%,43.0%,57.4%,41.5%,44.2%,55.8%,69.0%,53.5%,52.2%,58.6%,100.0%,21.7%,21.7%,38.9%,86
2007 Masters Cup RR,L vs Nadal,29.0%,36.2%,42.9%,37.0%,31.8%,43.2%,43.3%,44.3%,52.2%,42.9%,0.0%,24.0%,24.0%,42.1%,-79
2007 Masters Cup RR,L vs Gasquet,12.8%,23.4%,38.5%,15.3%,25.0%,25.0%,33.3%,30.0%,50.0%,30.0%,50.0%,0.0%,23.8%,42.9%,-118
2007 Madrid SF,L vs Nalbandian,37.0%,46.9%,43.5%,43.6%,44.9%,59.2%,51.9%,55.7%,65.2%,50.0%,100.0%,29.6%,33.3%,31.6%,157
2007 Vienna F,W vs Wawrinka,26.1%,43.5%,67.6%,38.7%,25.0%,50.0%,70.8%,43.1%,22.2%,56.5%,0.0%,28.6%,28.6%,60.0%,-79
2007 US Open F,L vs Federer,28.4%,41.4%,53.9%,34.3%,38.7%,54.8%,52.6%,49.7%,33.3%,57.1%,100.0%,19.1%,29.8%,55.3%,65
2007 US Open SF,W vs Ferrer,28.6%,36.3%,54.8%,33.8%,32.8%,42.6%,51.2%,40.7%,31.0%,43.8%,50.0%,22.2%,25.9%,61.9%,72
2007 Canada F,W vs Federer,32.3%,41.7%,51.6%,37.4%,40.3%,48.4%,51.4%,48.2%,44.4%,57.1%,0.0%,19.4%,32.3%,52.0%,55
2007 Canada SF,W vs Nadal,42.3%,53.5%,56.4%,48.3%,50.0%,60.9%,60.9%,59.3%,57.1%,32.0%,40.0%,30.4%,43.5%,50.0%,42
2007 Wimbledon SF,L vs Nadal,15.5%,20.7%,29.2%,18.3%,40.0%,50.0%,33.3%,48.0%,81.8%,22.2%,0.0%,7.7%,15.4%,25.0%,-39
2007 Wimbledon R16,W vs Hewitt,26.4%,37.9%,53.5%,35.1%,35.8%,50.8%,58.4%,48.3%,44.4%,65.2%,66.7%,7.5%,12.5%,43.2%,-45
2007 Roland Garros SF,L vs Nadal,14.7%,29.5%,43.8%,26.5%,16.2%,36.8%,49.1%,32.6%,65.7%,33.3%,25.0%,11.5%,11.5%,30.4%,-23
2007 Rome QF,L vs Nadal,11.9%,23.9%,43.1%,19.9%,14.6%,29.2%,48.8%,25.6%,61.5%,45.5%,28.6%,5.6%,11.1%,29.4%,-60
2007 Estoril F,W vs Gasquet,8.6%,22.6%,50.7%,15.8%,13.2%,34.0%,54.3%,25.8%,39.1%,66.7%,75.0%,3.6%,10.7%,44.4%,-84
2007 Miami F,W vs Canas,20.8%,33.3%,62.7%,28.0%,26.6%,40.6%,57.4%,37.3%,40.7%,51.4%,33.3%,9.7%,19.4%,71.4%,-32
2007 Miami SF,W vs Murray,23.8%,23.8%,66.7%,29.5%,25.0%,25.0%,61.9%,33.6%,69.2%,66.7%,0.0%,25.0%,25.0%,77.8%,118
2007 Miami QF,W vs Nadal,26.2%,32.3%,56.3%,32.2%,33.3%,40.0%,46.7%,42.0%,52.2%,50.0%,50.0%,10.0%,15.0%,72.2%,-79
2007 Indian Wells F,L vs Nadal,23.5%,31.4%,51.4%,28.8%,38.5%,50.0%,62.5%,48.8%,33.3%,50.0%,0.0%,8.7%,13.0%,42.9%,-30
2007 Indian Wells SF,W vs Murray,35.7%,45.2%,59.3%,41.9%,41.7%,58.3%,71.4%,52.5%,20.0%,50.0%,100.0%,27.8%,27.8%,46.2%,-79
2007 Dubai QF,L vs Federer,29.6%,37.8%,46.9%,34.5%,39.3%,49.2%,45.9%,47.2%,54.2%,67.6%,60.0%,15.6%,21.9%,48.1%,35
2007 Australian Open R16,L vs Federer,24.8%,30.7%,41.9%,27.3%,29.9%,35.8%,40.4%,33.7%,64.3%,46.2%,20.0%,15.6%,21.9%,44.4%,10
2007 Australian Open R128,W vs Massu,40.7%,54.2%,58.8%,51.9%,45.0%,60.0%,68.2%,61.5%,66.7%,54.5%,0.0%,33.3%,44.4%,41.7%,1
2007 Adelaide F,W vs Guccione,29.1%,42.7%,52.1%,34.7%,34.8%,52.2%,55.6%,44.3%,57.6%,33.3%,0.0%,26.3%,36.8%,46.4%,127
2006 Madrid R16,W vs Murray,22.2%,28.9%,54.5%,27.6%,32.0%,44.0%,61.8%,41.6%,33.3%,51.7%,50.0%,11.1%,11.1%,46.9%,-5
2006 Metz F,W vs Melzer,34.1%,45.5%,47.4%,40.7%,41.7%,55.0%,51.4%,51.3%,40.7%,42.4%,100.0%,18.5%,25.9%,40.9%,-25
2006 Davis Cup RR,L vs Federer,21.6%,28.9%,39.7%,27.9%,23.5%,30.9%,42.3%,32.5%,50.0%,63.2%,60.0%,19.2%,26.9%,33.3%,29
2006 Amersfoort F,W vs Massu,32.4%,38.2%,47.6%,36.2%,44.4%,55.6%,55.0%,51.7%,26.7%,42.9%,-,24.1%,24.1%,40.9%,63
2006 Roland Garros QF,L vs Nadal,7.7%,21.5%,49.0%,17.5%,11.9%,31.0%,54.1%,27.1%,50.0%,27.3%,0.0%,0.0%,8.3%,33.3%,-118
2006 Monte Carlo R64,L vs Federer,14.9%,28.7%,53.9%,23.0%,13.3%,26.7%,51.9%,26.0%,40.0%,65.7%,100.0%,20.0%,36.7%,58.3%,76
2006 Miami R64,L vs Coria,17.1%,28.0%,40.3%,23.0%,20.0%,31.1%,44.4%,30.9%,30.8%,68.4%,75.0%,16.1%,29.0%,34.6%,31
2005 US Open R128,W vs Monfils,19.0%,34.6%,54.3%,30.1%,21.0%,41.2%,59.6%,37.6%,37.3%,41.2%,100.0%,16.4%,23.6%,43.5%,47
2005 Australian Open R128,L vs Safin,9.1%,12.1%,27.3%,11.5%,15.4%,20.5%,30.3%,19.5%,35.0%,52.6%,75.0%,0.0%,0.0%,22.7%,-118
